"","Filename","Stony.corals","row_max","latitude","longitude","bathy.for.Boss","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"1","1.jpg",0,"Seagrasses",-33.5551,115.3906,-13.9604577089003,-13.9604577089003,0.60127725486607,0.60127725486607,268.567298906587,268.567298906587,0.0547927899176877,0.0935277106704102,0.307911021631519,16
"2","10.jpg",0,"Seagrasses",-33.5452,115.3754,-15.3608234789453,-15.3608234789453,0.162125783777371,0.162125783777371,184.439996720583,184.439996720583,0.00774934148304318,0.0557528509943352,0.280901232696184,2
"3","100.jpg",0,"Unconsolidated",-33.5658,115.2022,-23.9975990403031,-23.9975990403031,0.418458149901987,0.418458149901987,287.530975955402,287.530975955402,-0.0398051533242274,0.0650003586696939,0.186361859323043,16
"4","101.jpg",0,"Seagrasses",-33.5635,115.1855,-25.6327313488367,-25.6327313488367,0.637799923245531,0.637799923245531,3.85114212950945,3.85114212950945,-0.0263507040665658,0.0838073287332319,0.242602676807927,1
"5","103.jpg",0,"Seagrasses",-33.5593,115.3395,-17.143961400028,-17.143961400028,0.598558625655177,0.598558625655177,328.724059346329,328.724059346329,0.00648957535728911,0.0817735763400114,0.248308295489089,16
"6","104.jpg",0,"Macroalgae",-33.4936,115.4102,-19.967597036593,-19.967597036593,0.390419548041179,0.390419548041179,313.13440170484,313.13440170484,-0.0596340051213282,0.0750986645229781,0.162101586456416,16
"7","106.jpg",0,"Macroalgae",-33.5539,115.2544,-24.9994468688965,-24.9994468688965,0,0,90,90,0,0,0,8
"8","108.jpg",0,"Seagrasses",-33.5274,115.4064,-15.0953112116249,-15.0953112116249,0.532775351534678,0.532775351534678,270.043637017601,270.043637017601,0.0207768652251197,0.0734935348363697,0.235960073372361,16
"9","11.jpg",0,"Seagrasses",-33.5567,115.3683,-14.5959428234793,-14.5959428234793,0.315337671194661,0.315337671194661,337.599579512703,337.599579512703,-0.0227039602299843,0.0458320678999367,0.165697857457021,64
"10","110.jpg",0,"Macroalgae",-33.4769,115.4199,-20.8311870231296,-20.8311870231296,0.470833448543085,0.470833448543085,326.725908774619,326.725908774619,-0.0359926773152566,0.0643419147270134,0.219703653336605,16
"11","111.jpg",0,"Seagrasses",-33.5798,115.2917,-20.2333187072431,-20.2333187072431,0.114302042408224,0.114302042408224,328.177379284307,328.177379284307,0.00664487829826754,0.0196214878029206,0.0758245567866282,1
"12","112.jpg",0,"Seagrasses",-33.5674,115.3109,-19.7295876005501,-19.7295876005501,0.158494848577504,0.158494848577504,318.317660427449,318.317660427449,0.0286217553700681,0.0303678392864359,0.0971578993982156,16
"13","113.jpg",0,"Seagrasses",-33.5025,115.4384,-15.1037539843862,-15.1037539843862,0.10698589200716,0.10698589200716,153.530517709626,153.530517709626,0.0111224363290852,0.0296605672846604,0.0902737206986952,1
"14","115.jpg",0,"Unconsolidated",-33.5467,115.1977,-27.7927473119679,-27.7927473119679,1.95622642396598,1.95622642396598,34.7959497233782,34.7959497233782,0.0521505209886222,0.277957249304007,0.901017568640473,1
"15","116.jpg",0,"Seagrasses",-33.576,115.3534,-14.5763455355403,-14.5763455355403,0.108471398626568,0.108471398626568,225.385592295346,225.385592295346,0.0180629095800544,0.0280353989777735,0.0979294579157717,16
"16","118.jpg",0,"Unconsolidated",-33.5713,115.2398,-20.9025540106144,-20.9025540106144,0.230569634992736,0.230569634992736,125.008864999006,125.008864999006,0.00225968721182568,0.0298564052695616,0.111168005618534,1
"17","119.jpg",0,"Macroalgae",-33.4885,115.4434,-15.1249084565494,-15.1249084565494,0.384684322008655,0.384684322008655,112.012597591087,112.012597591087,-0.0430769853626902,0.0619700045901965,0.225906001150495,4
"18","12.jpg",0,"Seagrasses",-33.5504,115.3959,-13.8426735824061,-13.8426735824061,0.108477001812526,0.108477001812526,150.801049115563,150.801049115563,-0.0498458695601833,0.0498458695601813,0.112437689252465,4
"19","120.jpg",0,"Seagrasses",-33.5906,115.2584,-15.3235532773188,-15.3235532773188,1.39626624129708,1.39626624129708,346.807742815817,346.807742815817,-0.0420633927621257,0.188314177957259,0.579609322280479,16
"20","122.jpg",0,"Seagrasses",-33.5136,115.424,-15.6916566293069,-15.6916566293069,0.213314947523573,0.213314947523573,294.436562548152,294.436562548152,-0.0160713118493092,0.0373906172599814,0.124568908389129,16
"21","123.jpg",0,"Unconsolidated",-33.5574,115.1548,-25.65877630155,-25.65877630155,0.161954190542061,0.161954190542061,4.32399444074333,4.32399444074333,-0.00362490784934622,0.0211757658344469,0.0698086219391669,64
"22","125.jpg",0,"Seagrasses",-33.5738,115.2682,-20.9071636199951,-20.9071636199951,0,0,90,90,0,0,0,16
"23","127.jpg",0,"Seagrasses",-33.509,115.3957,-19.4634498655143,-19.4634498655143,0.163837033584449,0.163837033584449,189.985694780787,189.985694780787,0.0626740015284746,0.0626740015284715,0.137275518847577,16
"24","128.jpg",0,"Seagrasses",-33.5994,115.2867,-14.2752364363945,-14.2752364363945,0.248858437450149,0.248858437450149,345.824068759667,345.824068759667,-0.0408787728724906,0.0455901109975378,0.104022559767074,64
"25","129.jpg",0,"Unconsolidated",-33.5408,115.1741,-29.4384040832519,-29.4384040832519,1.31137628997268e-14,1.31137628997268e-14,255.963756532074,255.963756532074,3.5527136788005e-15,1.77635683940025e-15,3.5527136788005e-15,16
"26","13.jpg",0,"Seagrasses",-33.5619,115.3888,-14.5661560184742,-14.5661560184742,0.111149011940675,0.111149011940675,284.274126414325,284.274126414325,-0.0126497657226885,0.0189628747192017,0.0592674235007173,16
"27","130.jpg",0,"Seagrasses",-33.562,115.3252,-18.9664349512941,-18.9664349512941,0.276952847092709,0.276952847092709,344.631621953822,344.631621953822,-0.0257111266156329,0.039340478207877,0.10336746096532,16
"28","131.jpg",0,"Macroalgae",-33.5344,115.4016,-14.5599287708429,-14.5599287708429,0.65105191792263,0.65105191792263,40.1396995956593,40.1396995956593,0.0574970354453814,0.126686722573635,0.335302156426254,1
